mutant_ID,tag_idfentifier,transposon_set,contig,position,gene_ID
2011mTn5STM.1.01.D05,H1K1_5D,1,pSymB,1194772,SMb20966
2011mTn5STM.1.01.D06,H1K1_6D,1,chromosome,1840012,SMc00270
2011mTn5STM.1.01.D07,H1K1_7D,1,pSymB,1266397,SMb20861
2011mTn5STM.1.01.D08,H1K1_8D,1,chromosome,259722,SMc02904
2011mTn5STM.1.01.D09,H1K1_9D,1,pSymB,672401,NA
2011mTn5STM.1.01.D10,H1K1_10D,1,chromosome,1179310,NA
2011mTn5STM.1.01.D11,H1K1_11D,1,pSymA,55592,SMa0106
2011mTn5STM.1.01.E01,H1K1_1E,1,pSymB,626720,SMb20834
2011mTn5STM.1.01.E02,H1K1_2E,1,chromosome,3021208,SMc04023
2011mTn5STM.1.01.E03,H1K1_3E,1,pSymB,365178,SMb20356
2011mTn5STM.1.01.E04,H1K1_4E,1,pSymA,740088,SMa1353
2011mTn5STM.1.01.E05,H1K1_5E,1,chromosome,2161171,SMc04171
2011mTn5STM.1.01.E06,H1K1_6E,1,chromosome,938554,SMc00849
2011mTn5STM.1.01.E07,H1K1_7E,1,chromosome,3224135,SMc03113
2011mTn5STM.1.01.E08,H1K1_8E,1,pSymA,976715,NA
2011mTn5STM.1.01.E09,H1K1_9E,1,chromosome,580096,NA
2011mTn5STM.1.01.E10,H1K1_10E,1,chromosome,886676,NA
2011mTn5STM.1.01.E11,H1K1_11E,1,pSymA,414801,SMa0765
2011mTn5STM.1.01.E12,H1K1_12E,1,pSymB,1631912,NA
2011mTn5STM.1.01.F01,H1K1_1F,1,pSymB,1061358,SMb21534
2011mTn5STM.1.01.F02,H1K1_2F,1,chromosome,500386,SMc01710
2011mTn5STM.1.01.F03,H1K1_3F,1,pSymA,1231974,SMa2199
2011mTn5STM.1.01.F05,H1K1_5F,1,pSymA,815349,SMa1483
2011mTn5STM.1.01.F06,H1K1_6F,1,chromosome,2648462,SMc01825
2011mTn5STM.1.01.F07,H1K1_7F,1,chromosome,1081171,SMc00115
2011mTn5STM.1.01.F08,H1K1_8F,1,pSymB,649505,NA
2011mTn5STM.1.01.F09,H1K1_9F,1,pSymB,1424271,SMb21499
2011mTn5STM.1.01.F10,H1K1_10F,1,chromosome,176501,SMc02829
2011mTn5STM.1.01.F11,H1K1_11F,1,chromosome,3464239,SMc03799
2011mTn5STM.1.01.F12,H1K1_12F,1,chromosome,3541477,NA
2011mTn5STM.1.01.G01,H1K1_1G,1,pSymB,890099,SMb21145
2011mTn5STM.1.01.G02,H1K1_2G,1,pSymB,1234970,SMb20998
2011mTn5STM.1.01.G03,H1K1_3G,1,pSymA,1008192,NA
2011mTn5STM.1.01.G04,H1K1_4G,1,chromosome,2632641,SMc01497
2011mTn5STM.1.01.G05,H1K1_5G,1,pSymA,782665,SMa1418
2011mTn5STM.1.01.G06,H1K1_6G,1,pSymA,247130,SMa0462
2011mTn5STM.1.01.G07,H1K1_7G,1,chromosome,2171315,NA
2011mTn5STM.1.01.G08,H1K1_8G,1,pSymA,1345305,SMa2381
2011mTn5STM.1.01.G09,H1K1_9G,1,pSymA,229373,SMa0424
2011mTn5STM.1.01.G10,H1K1_10G,1,chromosome,452587,SMc01104
2011mTn5STM.1.01.G11,H1K1_11G,1,chromosome,254352,SMc02897
2011mTn5STM.1.01.G12,H1K1_12G,1,chromosome,2500541,SMc01561
2011mTn5STM.1.01.H01,H1K1_1H,1,chromosome,2312214,NA
2011mTn5STM.1.01.H02,H1K1_2H,1,chromosome,2701905,NA
2011mTn5STM.1.01.H03,H1K1_3H,1,chromosome,531452,SMc02163
2011mTn5STM.1.01.H04,H1K1_4H,1,chromosome,510818,SMc01702
2011mTn5STM.1.01.H05,H1K1_5H,1,pSymB,1428737,SMb21503
2011mTn5STM.1.01.H06,H1K1_6H,1,pSymA,893292,SMa1600
2011mTn5STM.1.01.H07,H1K1_7H,1,chromosome,1183343,SMc02637
2011mTn5STM.1.01.H08,H1K1_8H,1,chromosome,819097,SMc00798
2011mTn5STM.1.01.H09,H1K1_9H,1,pSymB,534932,NA
2011mTn5STM.1.01.H10,H1K1_10H,1,pSymA,1117711,SMa1965
2011mTn5STM.1.01.H11,H1K1_11H,1,pSymA,303204,SMa0570
2011mTn5STM.1.01.H12,H1K1_12H,1,pSymB,847036,SMb21272
2011mTn5STM.1.02.A01,H1K1_1A,2,pSymA,651512,SMa1184
2011mTn5STM.1.02.A02,H1K1_2A,2,chromosome,90233,SMc02592
2011mTn5STM.1.02.A03,H1K1_3A,2,pSymA,1054786,SMa1857
2011mTn5STM.1.02.A04,H1K1_4A,2,chromosome,3226405,SMc03112
2011mTn5STM.1.02.A05,H1K1_5A,2,pSymB,1674107,SMb21645
2011mTn5STM.1.02.A06,H1K1_6A,2,chromosome,1325136,SMc01780
2011mTn5STM.1.02.A07,H1K1_7A,2,pSymB,1416837,NA
2011mTn5STM.1.02.A08,H1K1_8A,2,chromosome,1978306,SMc00185
2011mTn5STM.1.02.A09,H1K1_9A,2,chromosome,2927440,SMc00649
2011mTn5STM.1.02.A10,H1K1_10A,2,chromosome,1545485,SMc01020
2011mTn5STM.1.02.A11,H1K1_11A,2,chromosome,363059,SMc00413
2011mTn5STM.1.02.A12,H1K1_12A,2,pSymA,1115062,SMa1960
2011mTn5STM.1.02.B01,H1K1_1B,2,pSymB,1496122,NA
2011mTn5STM.1.02.B02,H1K1_2B,2,chromosome,493376,NA
2011mTn5STM.1.02.B03,H1K1_3B,2,pSymB,1301240,SMb20893
2011mTn5STM.1.02.B04,H1K1_4B,2,chromosome,3453643,SMc03788
2011mTn5STM.1.02.B05,H1K1_5B,2,chromosome,1338354,SMc01792
2011mTn5STM.1.02.B06,H1K1_6B,2,chromosome,1834465,SMc00266
2011mTn5STM.1.02.B07,H1K1_7B,2,chromosome,661413,NA
2011mTn5STM.1.02.B08,H1K1_8B,2,chromosome,3604310,SMc04399
2011mTn5STM.1.02.B09,H1K1_9B,2,pSymA,1116158,SMa1961
2011mTn5STM.1.02.B10,H1K1_10B,2,pSymA,564435,SMa1016
2011mTn5STM.1.02.B11,H1K1_11B,2,pSymB,1492397,SMb20688
2011mTn5STM.1.02.B12,H1K1_12B,2,chromosome,2033237,NA
2011mTn5STM.1.02.C01,H1K1_1C,2,chromosome,671309,SMc02297
2011mTn5STM.1.02.C02,H1K1_2C,2,pSymB,617250,SMb20826
2011mTn5STM.1.02.C04,H1K1_4C,2,chromosome,2621927,SMc01507
2011mTn5STM.1.02.C05,H1K1_5C,2,chromosome,2133768,NA
2011mTn5STM.1.02.C06,H1K1_6C,2,chromosome,2756,SMc02791
2011mTn5STM.1.02.C07,H1K1_7C,2,chromosome,2002950,NA
2011mTn5STM.1.02.C08,H1K1_8C,2,pSymA,295686,SMa0557
2011mTn5STM.1.02.C09,H1K1_9C,2,pSymA,597300,NA
2011mTn5STM.1.02.C10,H1K1_10C,2,pSymB,105797,SMb20097
2011mTn5STM.1.02.C11,H1K1_11C,2,chromosome,2086310,SMc04257
2011mTn5STM.1.02.C12,H1K1_12C,2,chromosome,2877121,SMc00702
2011mTn5STM.1.02.D01,H1K1_1D,2,pSymA,146508,SMa0259
2011mTn5STM.1.02.D02,H1K1_2D,2,pSymA,1061021,SMa1869
2011mTn5STM.1.02.D03,H1K1_3D,2,chromosome,402512,SMc01150
2011mTn5STM.1.02.D04,H1K1_4D,2,chromosome,1936570,SMc00481
2011mTn5STM.1.02.D05,H1K1_5D,2,pSymA,1240100,SMA2213
2011mTn5STM.1.02.D06,H1K1_6D,2,chromosome,1840012,SMc00270
2011mTn5STM.1.02.D07,H1K1_7D,2,chromosome,1408298,SMc01373
2011mTn5STM.1.02.D08,H1K1_8D,2,pSymB,1536870,NA
2011mTn5STM.1.02.D09,H1K1_9D,2,chromosome,1832232,SMc00263
2011mTn5STM.1.02.D10,H1K1_10D,2,pSymA,331117,SMa0620
2011mTn5STM.1.02.D11,H1K1_11D,2,chromosome,798687,NA
2011mTn5STM.1.02.D12,H1K1_12D,2,pSymA,702299,SMa1288
2011mTn5STM.1.02.E01,H1K1_1E,2,chromosome,885333,SMc00898
2011mTn5STM.1.02.E02,H1K1_2E,2,pSymB,530528,SMb20508
2011mTn5STM.1.02.E03,H1K1_3E,2,pSymA,559051,SMa1008
2011mTn5STM.1.02.E04,H1K1_4E,2,pSymB,939366,SMb21189
2011mTn5STM.1.02.E05,H1K1_5E,2,chromosome,3421687,SMc03761
2011mTn5STM.1.02.E06,H1K1_6E,2,chromosome,2705431,SMc01980
2011mTn5STM.1.02.E07,H1K1_7E,2,pSymA,465263,NA
2011mTn5STM.1.02.E08,H1K1_8E,2,chromosome,193450,NA
2011mTn5STM.1.02.E09,H1K1_9E,2,chromosome,2724307,SMc02021
2011mTn5STM.1.02.E10,H1K1_10E,2,chromosome,3208112,NA
2011mTn5STM.1.02.E11,H1K1_11E,2,pSymB,1007028,SMb21341
2011mTn5STM.1.02.E12,H1K1_12E,2,chromosome,1424357,SMc01359
2011mTn5STM.1.02.F01,H1K1_1F,2,chromosome,2287778,SMc01443
2011mTn5STM.1.02.F02,H1K1_2F,2,chromosome,2773024,SMc02351
2011mTn5STM.1.02.F03,H1K1_3F,2,chromosome,1013504,NA
2011mTn5STM.1.02.F04,H1K1_4F,2,pSymA,705020,SMa1292
2011mTn5STM.1.02.F05,H1K1_5F,2,pSymB,85796,SMb20077
2011mTn5STM.1.02.F06,H1K1_6F,2,chromosome,285399,SMc00331
2011mTn5STM.1.02.F07,H1K1_7F,2,pSymB,520987,SMb20499
2011mTn5STM.1.02.F08,H1K1_8F,2,pSymA,514651,SMa0929
2011mTn5STM.1.02.F09,H1K1_9F,2,chromosome,106245,SMc02612
2011mTn5STM.1.02.F10,H1K1_10F,2,chromosome,652728,NA
2011mTn5STM.1.02.F11,H1K1_11F,2,pSymA,1177494,SMa2085
2011mTn5STM.1.02.F12,H1K1_12F,2,chromosome,2592675,NA
2011mTn5STM.1.02.G01,H1K1_1G,2,pSymA,826479,SMa1497
2011mTn5STM.1.02.G02,H1K1_2G,2,pSymB,530926,SMb20508
2011mTn5STM.1.02.G03,H1K1_3G,2,chromosome,2792987,SMc02420
2011mTn5STM.1.02.G04,H1K1_4G,2,chromosome,301074,SMc00344
2011mTn5STM.1.02.G05,H1K1_5G,2,chromosome,1943913,SMc00476
2011mTn5STM.1.02.G06,H1K1_6G,2,pSymB,208405,SMb20200
2011mTn5STM.1.02.G07,H1K1_7G,2,chromosome,2330305,SMc01877
2011mTn5STM.1.02.G08,H1K1_8G,2,chromosome,151271,SMc04125
2011mTn5STM.1.02.G09,H1K1_9G,2,pSymA,281694,SMa0522
2011mTn5STM.1.02.G10,H1K1_10G,2,chromosome,1919769,SMc00490
2011mTn5STM.1.02.G11,H1K1_11G,2,chromosome,964505,NA
2011mTn5STM.1.02.G12,H1K1_12G,2,chromosome,1755073,SMc01175
2011mTn5STM.1.02.H01,H1K1_1H,2,pSymA,222265,SMa0407
2011mTn5STM.1.02.H02,H1K1_2H,2,pSymA,1272428,SMa2287
2011mTn5STM.1.02.H03,H1K1_3H,2,chromosome,2490375,NA
2011mTn5STM.1.02.H04,H1K1_4H,2,chromosome,2897531,NA
2011mTn5STM.1.02.H05,H1K1_5H,2,pSymA,289740,NA
2011mTn5STM.1.02.H06,H1K1_6H,2,pSymA,602062,SMa1103
2011mTn5STM.1.02.H07,H1K1_7H,2,pSymB,785533,SMb21222
2011mTn5STM.1.02.H08,H1K1_8H,2,chromosome,1841880,NA
2011mTn5STM.1.02.H09,H1K1_9H,2,chromosome,3377811,SMc03262
2011mTn5STM.1.02.H11,H1K1_11H,2,chromosome,3205040,SMc03125
2011mTn5STM.1.02.H12,H1K1_12H,2,pSymB,285108,NA
2011mTn5STM.1.03.A01,H1K1_1A,3,pSymA,759555,NA
2011mTn5STM.1.03.A02,H1K1_2A,3,chromosome,552552,SMc02154
2011mTn5STM.1.03.A03,H1K1_3A,3,pSymB,1292492,SMb20886
2011mTn5STM.1.03.A04,H1K1_4A,3,pSymB,790551,SMb21226
2011mTn5STM.1.03.A05,H1K1_5A,3,pSymA,280545,NA
2011mTn5STM.1.03.A06,H1K1_6A,3,pSymB,1150177,SMb20925
2011mTn5STM.1.03.A07,H1K1_7A,3,chromosome,2765761,SMc02343
2011mTn5STM.1.03.A08,H1K1_8A,3,chromosome,2483844,SMc01740
2011mTn5STM.1.03.A09,H1K1_9A,3,chromosome,3387590,NA
2011mTn5STM.1.03.A10,H1K1_10A,3,pSymB,1586485,NA
2011mTn5STM.1.03.A11,H1K1_11A,3,chromosome,1143372,NA
2011mTn5STM.1.03.A12,H1K1_12A,3,chromosome,611323,NA
2011mTn5STM.1.03.B01,H1K1_1B,3,chromosome,2666492,SMc01944
2011mTn5STM.1.03.B02,H1K1_2B,3,pSymA,576750,SMa1052
2011mTn5STM.1.03.B03,H1K1_3B,3,chromosome,659511,NA
2011mTn5STM.1.03.B04,H1K1_4B,3,pSymB,1482423,NA
2011mTn5STM.1.03.B05,H1K1_5B,3,chromosome,672991,SMc02329
2011mTn5STM.1.03.B06,H1K1_6B,3,pSymB,954586,SMb21202
2011mTn5STM.1.03.B07,H1K1_7B,3,pSymB,743989,NA
2011mTn5STM.1.03.B08,H1K1_8B,3,pSymB,535305,SMb20513
2011mTn5STM.1.03.B09,H1K1_9B,3,chromosome,3224132,SMc03113
2011mTn5STM.1.03.B10,H1K1_10B,3,pSymB,826023,SMb21255
2011mTn5STM.1.03.B11,H1K1_11B,3,pSymA,47692,SMa0091
2011mTn5STM.1.03.B12,H1K1_12B,3,chromosome,511411,SMc01701
2011mTn5STM.1.03.C01,H1K1_1C,3,pSymA,927034,SMa1660
2011mTn5STM.1.03.C02,H1K1_2C,3,chromosome,2419684,SMc01628
2011mTn5STM.1.03.C03,H1K1_3C,3,chromosome,3252057,SMc03096
2011mTn5STM.1.03.C04,H1K1_4C,3,pSymA,1231603,SMa2197
2011mTn5STM.1.03.C05,H1K1_5C,3,chromosome,1589058,SMc02121
2011mTn5STM.1.03.C06,H1K1_6C,3,pSymA,28225,NA
2011mTn5STM.1.03.C07,H1K1_7C,3,pSymB,1052681,SMb21527
2011mTn5STM.1.03.C08,H1K1_8C,3,pSymB,1367028,SMb21436
2011mTn5STM.1.03.C09,H1K1_9C,3,chromosome,881537,NA
2011mTn5STM.1.03.C10,H1K1_10C,3,pSymB,801394,NA
2011mTn5STM.1.03.C11,H1K1_11C,3,pSymB,407588,SMb20393
2011mTn5STM.1.03.C12,H1K1_12C,3,chromosome,2671004,SMc01949
2011mTn5STM.1.03.D01,H1K1_1D,3,pSymA,823524,SMa1493
2011mTn5STM.1.03.D02,H1K1_2D,3,chromosome,3330834,SMc02466
2011mTn5STM.1.03.D03,H1K1_3D,3,pSymB,356955,SMb20349
2011mTn5STM.1.03.D04,H1K1_4D,3,pSymA,844816,SMa1531
2011mTn5STM.1.03.D05,H1K1_5D,3,chromosome,3114717,NA
2011mTn5STM.1.03.D06,H1K1_6D,3,pSymA,1001314,SMa1760
2011mTn5STM.1.03.D07,H1K1_7D,3,pSymA,250508,SMa0464
2011mTn5STM.1.03.D08,H1K1_8D,3,chromosome,1216427,SMc02544
2011mTn5STM.1.03.D09,H1K1_9D,3,pSymB,1220215,SMb20986
2011mTn5STM.1.03.D10,H1K1_10D,3,pSymB,553125,SMb20528
2011mTn5STM.1.03.D11,H1K1_11D,3,chromosome,2231370,SMc04346
2011mTn5STM.1.03.D12,H1K1_12D,3,chromosome,1354272,NA
2011mTn5STM.1.03.E01,H1K1_1E,3,chromosome,881640,NA
2011mTn5STM.1.03.E02,H1K1_2E,3,pSymB,1508151,NA
2011mTn5STM.1.03.E04,H1K1_4E,3,pSymB,1442459,NA
2011mTn5STM.1.03.E05,H1K1_5E,3,chromosome,3377055,SMc03260
2011mTn5STM.1.03.E06,H1K1_6E,3,pSymA,1077347,SMa1896
2011mTn5STM.1.03.E07,H1K1_7E,3,chromosome,743983,SMc03047
2011mTn5STM.1.03.E08,H1K1_8E,3,chromosome,600021,SMc02236
2011mTn5STM.1.03.E09,H1K1_9E,3,chromosome,110995,SMc02618
2011mTn5STM.1.03.E10,H1K1_10E,3,pSymB,1658752,SMb21630
2011mTn5STM.1.03.E11,H1K1_11E,3,pSymA,699878,NA
2011mTn5STM.1.03.E12,H1K1_12E,3,chromosome,2876690,SMc00702
2011mTn5STM.1.03.F01,H1K1_1F,3,pSymB,1083200,SMb21548
2011mTn5STM.1.03.F02,H1K1_2F,3,pSymB,516737,SMb20496
2011mTn5STM.1.03.F03,H1K1_3F,3,pSymA,70490,SMa0130
2011mTn5STM.1.03.F05,H1K1_5F,3,pSymA,1175119,SMa2081
2011mTn5STM.1.03.F06,H1K1_6F,3,chromosome,2701494,SMc01977
2011mTn5STM.1.03.F07,H1K1_7F,3,chromosome,2048344,SMc04222
2011mTn5STM.1.03.F08,H1K1_8F,3,pSymB,1417410,SMb21495
2011mTn5STM.1.03.F09,H1K1_9F,3,chromosome,2968349,SMc03972
2011mTn5STM.1.03.F10,H1K1_10F,3,chromosome,2278769,SMc01432
2011mTn5STM.1.03.F11,H1K1_11F,3,pSymA,851057,SMa1541
2011mTn5STM.1.03.F12,H1K1_12F,3,pSymB,65827,NA
2011mTn5STM.1.03.G01,H1K1_1G,3,pSymB,354559,NA
2011mTn5STM.1.03.G02,H1K1_2G,3,chromosome,1304205,SMc01758
2011mTn5STM.1.03.G03,H1K1_3G,3,chromosome,3257899,SMc03091
2011mTn5STM.1.03.G04,H1K1_4G,3,chromosome,2028831,SMc00141
2011mTn5STM.1.03.G05,H1K1_5G,3,chromosome,175825,SMc02828
2011mTn5STM.1.03.G06,H1K1_6G,3,pSymB,1586485,NA
2011mTn5STM.1.03.G07,H1K1_7G,3,chromosome,62261,NA
2011mTn5STM.1.03.G08,H1K1_8G,3,chromosome,2752766,NA
2011mTn5STM.1.03.G09,H1K1_9G,3,pSymA,616233,SMa1128
2011mTn5STM.1.03.G10,H1K1_10G,3,chromosome,204893,SMc02853
2011mTn5STM.1.03.G11,H1K1_11G,3,pSymB,1211562,NA
2011mTn5STM.1.03.G12,H1K1_12G,3,pSymA,825396,SMa1495
2011mTn5STM.1.03.H01,H1K1_1H,3,pSymB,1478935,NA
2011mTn5STM.1.03.H02,H1K1_2H,3,pSymB,1273446,SMb20868
2011mTn5STM.1.03.H03,H1K1_3H,3,chromosome,2585307,NA
2011mTn5STM.1.03.H04,H1K1_4H,3,chromosome,3545576,NA
2011mTn5STM.1.03.H05,H1K1_5H,3,chromosome,1867638,SMc00295
2011mTn5STM.1.03.H06,H1K1_6H,3,chromosome,2984052,SMc03985
2011mTn5STM.1.03.H07,H1K1_7H,3,chromosome,2246801,NA
2011mTn5STM.1.03.H08,H1K1_8H,3,chromosome,3197371,SMc03132
2011mTn5STM.1.03.H09,H1K1_9H,3,pSymB,184204,SMb20164
2011mTn5STM.1.03.H10,H1K1_10H,3,pSymB,1599366,SMb20584
2011mTn5STM.1.03.H11,H1K1_11H,3,chromosome,2492843,SMc01552
2011mTn5STM.1.03.H12,H1K1_12H,3,pSymA,527748,SMa0943
2011mTn5STM.1.04.A01,H1K1_1A,4,pSymA,66336,SMa0124
2011mTn5STM.1.04.A02,H1K1_2A,4,chromosome,3225719,SMc03112
2011mTn5STM.1.04.A03,H1K1_3A,4,pSymB,1660132,SMb21631
2011mTn5STM.1.04.A04,H1K1_4A,4,pSymA,501462,SMa0896
2011mTn5STM.1.04.A05,H1K1_5A,4,pSymB,1114609,SMb21575
2011mTn5STM.1.04.A06,H1K1_6A,4,pSymB,91256,SMb20079
2011mTn5STM.1.04.A07,H1K1_7A,4,chromosome,2372707,SMc01843
2011mTn5STM.1.04.A08,H1K1_8A,4,chromosome,2816187,SMc02433
2011mTn5STM.1.04.A09,H1K1_9A,4,pSymB,1636272,SMb20616
2011mTn5STM.1.04.A10,H1K1_10A,4,chromosome,3324591,SMc02472
2011mTn5STM.1.04.A11,H1K1_11A,4,pSymB,1469810,SMb20668
2011mTn5STM.1.04.A12,H1K1_12A,4,pSymB,620842,SMb20829
2011mTn5STM.1.04.B01,H1K1_1B,4,chromosome,2915924,NA
2011mTn5STM.1.04.B02,H1K1_2B,4,chromosome,2115533,SMc04301
2011mTn5STM.1.04.B03,H1K1_3B,4,pSymB,669566,NA
2011mTn5STM.1.04.B05,H1K1_5B,4,chromosome,3113581,NA
2011mTn5STM.1.04.B06,H1K1_6B,4,pSymB,1154045,SMb20930
2011mTn5STM.1.04.B07,H1K1_7B,4,chromosome,2416476,SMc01624
2011mTn5STM.1.04.B08,H1K1_8B,4,pSymB,832963,SMb21260
2011mTn5STM.1.04.B09,H1K1_9B,4,chromosome,1295555,SMc00621
2011mTn5STM.1.04.B10,H1K1_10B,4,pSymA,1201992,SMa2127
2011mTn5STM.1.04.B11,H1K1_11B,4,chromosome,2482523,SMc01547
2011mTn5STM.1.04.B12,H1K1_12B,4,pSymA,804106,SMa1459
2011mTn5STM.1.04.C01,H1K1_1C,4,chromosome,2259535,SMc01491
2011mTn5STM.1.04.C02,H1K1_2C,4,pSymB,224998,SMb20216
2011mTn5STM.1.04.C03,H1K1_3C,4,pSymB,250380,SMb20245
2011mTn5STM.1.04.C04,H1K1_4C,4,chromosome,736420,SMc03040
2011mTn5STM.1.04.C05,H1K1_5C,4,chromosome,2623877,SMc01506
2011mTn5STM.1.04.C06,H1K1_6C,4,chromosome,3634711,NA
2011mTn5STM.1.04.C07,H1K1_7C,4,chromosome,871753,NA
2011mTn5STM.1.04.C08,H1K1_8C,4,chromosome,1186287,SMc02634
2011mTn5STM.1.04.C09,H1K1_9C,4,chromosome,2773269,SMc02351
2011mTn5STM.1.04.C10,H1K1_10C,4,pSymA,1245356,NA
2011mTn5STM.1.04.C11,H1K1_11C,4,chromosome,2776620,SMc02354
2011mTn5STM.1.04.C12,H1K1_12C,4,pSymA,196841,SMa0364
2011mTn5STM.1.04.D01,H1K1_1D,4,chromosome,558439,SMc02152
2011mTn5STM.1.04.D02,H1K1_2D,4,chromosome,117538,NA
2011mTn5STM.1.04.D03,H1K1_3D,4,pSymB,551929,NA
2011mTn5STM.1.04.D04,H1K1_4D,4,chromosome,1534372,NA
2011mTn5STM.1.04.D05,H1K1_5D,4,pSymB,500008,SMb20484
2011mTn5STM.1.04.D06,H1K1_6D,4,chromosome,2481467,NA
2011mTn5STM.1.04.D07,H1K1_7D,4,pSymA,189433,SMa0349
2011mTn5STM.1.04.D08,H1K1_8D,4,pSymB,777630,SMb21139
2011mTn5STM.1.04.D09,H1K1_9D,4,pSymA,827124,SMa1500
2011mTn5STM.1.04.D10,H1K1_10D,4,pSymB,1519133,NA
2011mTn5STM.1.04.D11,H1K1_11D,4,chromosome,3608577,SMc04402
2011mTn5STM.1.04.D12,H1K1_12D,4,chromosome,2923675,NA
2011mTn5STM.1.04.E01,H1K1_1E,4,pSymB,401257,SMb20389
2011mTn5STM.1.04.E02,H1K1_2E,4,pSymB,968121,SMb21215
2011mTn5STM.1.04.E04,H1K1_4E,4,chromosome,1374867,SMc01910
2011mTn5STM.1.04.E05,H1K1_5E,4,chromosome,2701990,NA
2011mTn5STM.1.04.E06,H1K1_6E,4,pSymA,506581,SMa0909
2011mTn5STM.1.04.E07,H1K1_7E,4,pSymB,1681873,SMb21650
2011mTn5STM.1.04.E08,H1K1_8E,4,pSymA,815527,SMa1483
2011mTn5STM.1.04.E09,H1K1_9E,4,pSymB,1562927,NA
2011mTn5STM.1.04.E10,H1K1_10E,4,chromosome,2627916,SMc01501
2011mTn5STM.1.04.E11,H1K1_11E,4,pSymB,1294115,SMb20888
2011mTn5STM.1.04.E12,H1K1_12E,4,pSymB,466283,NA
2011mTn5STM.1.04.F01,H1K1_1F,4,pSymA,179202,SMa0320
2011mTn5STM.1.04.F02,H1K1_2F,4,pSymB,682873,SMb21050
2011mTn5STM.1.04.F03,H1K1_3F,4,pSymB,1527060,SMb20721
2011mTn5STM.1.04.F05,H1K1_5F,4,chromosome,145667,SMc04128
2011mTn5STM.1.04.F06,H1K1_6F,4,pSymB,274689,SMb20269
2011mTn5STM.1.04.F07,H1K1_7F,4,chromosome,555698,SMc02153
2011mTn5STM.1.04.F09,H1K1_9F,4,pSymB,945838,SMb21196
2011mTn5STM.1.04.F10,H1K1_10F,4,chromosome,2496364,NA
2011mTn5STM.1.04.F11,H1K1_11F,4,chromosome,2756726,NA
2011mTn5STM.1.04.F12,H1K1_12F,4,chromosome,2242403,SMc04363
